%Time(ms),Error2,Error1,FirstTouch(m)
25321,32566.37305,958725.8125,0
25322,33076.96484,985762.875,0
25323,33154.52734,1011465.688,0
25324,33504.06641,1035246.25,0
25325,34533.81641,1064327.125,0
25326,35230.45313,1086836.875,0
25327,35808.75,1113948.125,0
29491,1844.746582,3131.355469,0
29492,1944.266968,6413.689941,0
29493,3691.05127,9647.530273,0
29494,3821.769775,13162.39941,0
29495,4903.735352,14113.10938,0
29496,5408.030273,14824.11133,0
29497,6069.126953,15592.20508,0
29498,6671.155762,16688.50195,0
29499,7218.84375,18159.64453,0
29500,7713.4375,20053.69141,0
29501,8153.991211,22418.02148,0
29502,8721.400391,25115.44531,0
29503,9223.160156,28379.43945,0
29504,9662.207031,32245.31641,0
29505,10464.3125,34536.08594,0
29506,10512.57324,40691.01172,0
29507,11137.31934,45868.53125,0
29508,11759.64453,51700.01563,0
29509,12393.48242,58197.49609,0
29510,13048.16797,65374.875,0
29511,13727.0498,73249.32031,0
29512,15054.2627,79347.77344,0
29513,15574.9873,89421.99219,0
29514,16577.29492,98847.96875,0
29515,17544.70703,109080.3984,0
29516,18461.46094,120143.2578,0
29517,19851.89063,129629.4453,0
29518,20356.37891,143210.9531,0
29519,21273.17578,156241.3281,0
29520,22507.96484,167852.4688,0
29521,23257.44922,181269.3594,0
29522,23739.11719,197232.25,0
29523,24635.30664,212629.625,0
29524,25858.71289,226589.4063,0
29525,26193.08008,244621.5781,0
29526,27354.46094,259779.9375,0
29527,28168.95703,276584.25,0
29528,28580.63086,296017.5313,0
29529,29385.03516,314842.5938,0
29530,30497.41016,332212.9063,0
29531,31110.51758,351351.8125,0
29532,31837.32227,370713.0938,0
29533,32126.71875,392659.3125,0
29534,33204.74219,411710.1875,0
29535,33762.87109,432516.375,0
29536,33860.33203,455870.8125,0
29537,34833.19531,476211.125,0
29538,35272.94141,498286.5625,0
29539,35679.61328,520660.625,0
29540,36054.38672,543322.625,0
29541,36158.90625,568441.125,0
29542,37397.28125,588299.25,0
29543,37488.37109,613061.8125,0
29544,37562.77344,638793.25,0
29545,38260.73828,661521.5625,0
29546,38424.83594,685890.6875,0
29547,38673.41406,710342.8125,0
29548,38878.85156,734992.875,0
29549,39036.53906,759832.5625,0
29550,39615.05469,782756.3125,0
29551,39892.80859,809087.25,0
29552,40177.24609,834043.75,0
29553,40405.78906,859157.125,0
29554,41058.86719,882350.8125,0
29555,41265.75391,908913.5,0
29556,41499.76563,934180.0625,0
29557,41791.29688,959446.125,0
29558,42013.01563,984823.625,0
29559,42654.15625,1008286.625,0
29560,43393.47656,1037083.5,0
29561,44372.29297,1059317.5,0
32875,989.1670532,146.5933075,0
32876,1799.092163,337.39151,0
32877,2654.381348,417.4158325,0
32878,3390.083984,618.5150757,0
32879,4023.439453,987.6208496,0
32880,4569.069336,1571.550293,0
32881,4592.453125,4472.480957,0
32882,6021.355469,6766.463867,0
32883,6087.519531,9479.734375,0
32884,6163.499023,13287.51953,0
32885,7423.209961,14378.46973,0
32886,7521.854492,18433.92383,0
32887,8052.406738,21413.71289,0
32888,8103.059082,27163.10938,0
32889,9325.160156,28106.64063,0
32890,9451.994141,34340.14063,0
32891,9790.34375,39804.05859,0
32892,10312.01172,45736.19922,0
32893,11242.75781,50099.81641,0
32894,11374.73438,58374.04297,0
32895,12016.53613,65922.54688,0
32896,12667.91211,74191.96094,0
32897,13932.48535,80724.625,0
32898,14373.93066,91256.86719,0
32899,15281.90723,101161.7578,0
32900,16142.58301,111889.9531,0
32901,16943.07227,123461.2109,0
32902,17800.95508,135762.0781,0
32903,18982.83398,146638.0313,0
32904,19275.33398,161613.8281,0
32905,20390.06836,173738.2344,0
32906,20616.02539,189956.8438,0
32907,21804.51953,203179.6719,0
32908,22112.71875,220477.0469,0
32909,23257.22266,234897.75,0
32910,23519.55859,253377.5156,0
32911,24197.5957,271253.9063,0
32912,25335.71484,287538.375,0
32913,25985.28906,305596.9375,0
32914,26216.97656,326270.3125,0
32915,27249.03516,344063.0313,0
32916,27772.54883,363627.5938,0
32917,27964.07813,385671.6875,0
32918,28941.56055,404823.125,0
32919,29400.07813,425728.9063,0
32920,29402.92773,449177.9375,0
32921,30187.37695,469706.6563,0
32922,30565.63867,491843.5625,0
32923,30923.84375,514266.0938,0
32924,31261.77148,536964.9375,0
32925,31578.89258,559930.75,0
32926,31734.85352,585326.0625,0
32927,32933.98828,605448.8125,0
32928,33066.19922,630467,0
32929,33189.86719,656439.3125,0
32930,33828.93359,679406.25,0
32931,33921.29688,704014.5625,0
32932,34536.76563,726604.625,0
