%frameid,time(us),x(mm),y(mm),z(mm) 
933297,2123286356,-20.9364,-169.747,264.045
933298,2123295482,-20.9718,-165.006,264.231
933299,2123304833,-21.4415,-160.422,265.083
933300,2123314011,-21.7257,-156.28,265.986
933301,2123323252,-21.9184,-151.075,265.79
933302,2123332437,-22.125,-145.908,265.999
933303,2123341756,-22.686,-139.544,266.57
933304,2123350995,-23.032,-133.425,266.988
933305,2123360186,-23.3927,-127.526,267.203
933306,2123369409,-23.9071,-120.942,267.692
933307,2123378610,-24.2667,-114.453,267.568
933308,2123387871,-24.587,-107.793,267.634
933309,2123397060,-24.6875,-101.34,266.929
933310,2123406238,-25.0278,-94.727,266.978
933311,2123415573,-25.374,-87.6722,267.701
933312,2123424753,-25.6117,-81.3643,268.265
933313,2123434013,-25.9347,-74.6511,268.611
933314,2123443199,-26.131,-67.815,268.622
933315,2123452478,-26.6411,-60.5638,268.337
933316,2123461707,-26.7826,-53.9309,268.121
933317,2123470895,-27.0632,-46.9103,268.011
933318,2123480158,-27.1763,-40.1495,267.486
933319,2123489385,-27.4672,-33.3548,266.862
933320,2123498618,-27.5959,-26.699,266.367
933321,2123507856,-27.6996,-19.9284,265.796
933322,2123517096,-27.778,-12.8019,265.167
933323,2123526302,-27.7039,-6.08964,264.468
933324,2123535489,-27.5769,0.198006,263.881
933325,2123544695,-27.4231,6.25356,262.976
933326,2123554037,-27.225,12.0102,261.912
933327,2123563220,-27.1105,18.3885,261.067
933328,2123572487,-26.8757,24.3397,259.978
933329,2123581699,-26.5517,30.1434,259.026
933330,2123590926,-25.9967,35.4806,257.947
933331,2123600119,-25.4024,40.5983,256.986
933332,2123609334,-24.902,45.9275,255.915
933333,2123618618,-24.1581,50.706,255.012
933334,2123627840,-23.3925,55.3242,254.239
933335,2123637035,-22.6493,59.1774,253.483
933336,2123646307,-21.774,62.6722,252.788
933337,2123655545,-21.027,65.4377,252.226
933338,2123664790,-20.528,67.8,251.817
933339,2123674012,-20.0371,69.6006,251.541
933340,2123683217,-19.6926,70.4913,251.363
933341,2123692452,-19.4606,70.9627,251.301
933342,2123701674,-19.3184,71.3281,251.307
933343,2123710846,-19.2204,71.5522,251.316
933344,2123720219,-19.2107,71.565,251.352
933345,2123729278,-19.2483,71.337,251.514
933346,2123738588,-19.4246,70.0531,251.899
933347,2123747794,-20.0492,67.5134,252.381
933348,2123757065,-20.473,64.1578,253.071
933349,2123766268,-21.0355,60.8653,253.398
933350,2123775453,-21.6379,57.6424,253.741
933351,2123784769,-22.2938,53.8053,254.073
933352,2123793971,-22.8817,49.7113,254.356
933353,2123803203,-23.3773,45.171,254.576
933354,2123812379,-23.8139,40.376,254.755
933355,2123821677,-24.2958,35.5615,254.94
933356,2123831001,-24.7405,30.1154,255.1
933357,2123840116,-25.0677,24.6847,255.215
933358,2123849346,-25.3769,19.1672,255.289
933359,2123858578,-25.5776,13.4488,255.444
933360,2123867881,-25.7604,7.71694,255.684
933361,2123877049,-25.9075,1.61645,255.781
933362,2123886312,-25.8736,-5.12346,255.806
933363,2123895382,-25.7082,-11.4404,255.877
933364,2123904666,-25.667,-17.8766,255.692
933365,2123913984,-25.6655,-24.5187,255.566
933366,2123923093,-25.36,-31.3871,255.546
933367,2123932408,-25.0516,-38.4443,255.346
933368,2123941669,-24.6843,-45.7435,255.38
933369,2123950910,-24.1302,-52.897,255.53
933370,2123960108,-23.5953,-59.8766,255.451
