%frameid,time(us),x(mm),y(mm),z(mm) 
926718,2000312544,91.0418,42.8658,298.963
926719,2000321755,95.0419,40.0951,299.013
926720,2000330984,98.7579,36.4774,299.252
926721,2000340196,102.667,32.5177,299.217
926722,2000349434,106.479,28.773,299.154
926723,2000358659,110.107,24.6567,299.193
926724,2000367928,113.712,21.2532,299.187
926725,2000377067,116.781,17.3935,298.961
926726,2000386367,120.006,13.6451,298.857
926727,2000395595,122.922,9.32069,298.589
926728,2000404806,125.644,5.33001,298.529
926729,2000414101,128.168,1.64923,298.551
926730,2000423188,130.488,-2.86252,298.546
926731,2000432519,132.757,-6.94454,298.344
926732,2000441727,134.75,-11.3195,298.126
926733,2000450966,136.57,-15.8656,297.911
926734,2000469443,139.987,-24.9926,297.683
926735,2000478679,141.121,-28.3525,297.657
926736,2000487875,141.944,-32.222,297.335
926737,2000497130,142.602,-36.357,296.887
926738,2000506352,142.865,-40.8452,296.392
926739,2000515530,143.074,-45.3085,295.818
926740,2000524790,143.065,-49.2476,295.325
926741,2000534039,142.966,-53.7018,295.008
926742,2000543264,142.25,-57.7806,294.018
926743,2000552502,141.495,-62.2998,293.336
926744,2000561727,140.465,-66.2459,292.165
926745,2000570970,139.215,-70.8294,291.092
926746,2000580113,137.812,-75.0439,290.313
926747,2000589414,136.39,-79.6062,289.328
926748,2000598649,134.649,-83.7417,288.003
926749,2000607889,132.493,-87.8606,286.848
926750,2000617106,130.233,-91.8012,285.37
926751,2000626296,127.849,-96.1027,284.351
926752,2000635517,125.522,-100.533,283.431
926753,2000644720,122.821,-104.526,282.296
926754,2000654015,120.036,-108.689,280.86
926755,2000663190,117.239,-112.812,279.596
926756,2000672527,113.947,-116.797,278.164
926757,2000681624,110.893,-120.398,276.718
926758,2000690936,107.562,-124.561,275.325
926759,2000700170,104.075,-128.678,273.438
926760,2000709383,100.651,-132.34,272.117
926761,2000718643,96.9193,-135.698,270.71
926762,2000727787,93.3596,-139.309,269.701
926763,2000737068,89.4893,-142.774,268.338
926764,2000746256,85.5761,-146.487,266.999
926765,2000755522,81.4987,-149.748,265.661
926766,2000764736,77.2021,-152.974,264.056
926767,2000774037,73.2572,-156.064,262.682
926768,2000783244,69.1334,-158.712,261.294
926769,2000792488,65.2096,-161.439,260.309
926770,2000801679,61.0567,-164.022,259.214
926771,2000810937,56.6891,-166.253,258.36
926772,2000820117,52.6024,-168.28,257.184
926773,2000829376,48.0009,-169.912,256.2
926774,2000838606,43.5773,-171.35,255.253
926775,2000847799,39.0686,-173.17,254.075
926776,2000875526,23.9874,-176.403,251.928
926777,2000884666,20.8941,-177.113,251.451
926778,2000893987,17.1236,-177.59,250.926
926779,2000903233,13.1449,-177.94,250.456
926780,2000912484,8.84168,-178.08,250.093
